epoch,loss
0,0.196
1,0.194
2,0.193
3,0.192
4,0.192
5,0.192
6,0.189
7,0.184
8,0.183
9,0.179
10,0.177
11,0.174
12,0.164
13,0.171
14,0.158
15,0.154
16,0.143
17,0.132
18,0.131
19,0.119
20,0.125
21,0.105
22,0.107
23,0.102
24,0.092
25,0.097
26,0.093
27,0.086
28,0.088
29,0.077
30,0.075
31,0.077
32,0.077
33,0.077
34,0.101
35,0.067
36,0.069
37,0.063
38,0.063
39,0.057
40,0.058
41,0.059
42,0.061
43,0.062
44,0.064
45,0.061
46,0.057
47,0.055
48,0.054
49,0.061
50,0.057
51,0.06
52,0.063
53,0.053
54,0.051
55,0.053
56,0.052
57,0.047
58,0.045
59,0.049
60,0.047
61,0.054
62,0.047
63,0.045
64,0.043
65,0.046
66,0.038
67,0.053
68,0.043
69,0.043
70,0.042
71,0.04
72,0.039
73,0.039
74,0.039
75,0.037
76,0.034
77,0.036
78,0.037
79,0.038
80,0.037
81,0.038
82,0.037
83,0.036
84,0.035
85,0.035
86,0.035
87,0.034
88,0.035
89,0.034
90,0.034
91,0.036
92,0.037
93,0.036
94,0.034
95,0.033
96,0.034
97,0.034
98,0.035
99,0.035
100,0.034
101,0.035
102,0.036
103,0.033
104,0.035
105,0.033
106,0.033
107,0.034
108,0.034
109,0.033
110,0.034
111,0.034
112,0.033
113,0.032
114,0.035
115,0.034
116,0.032
117,0.033
118,0.036
119,0.033
120,0.033
121,0.032
122,0.035
123,0.031
124,0.033
125,0.034
126,0.032
127,0.032
128,0.033
129,0.033
130,0.033
131,0.034
132,0.033
133,0.037
134,0.032
135,0.034
136,0.034
137,0.032
138,0.033
139,0.032
140,0.034
141,0.032
142,0.033
143,0.033
144,0.032
145,0.031
146,0.031
147,0.035
148,0.032
149,0.033
150,0.033
151,0.033
152,0.032
153,0.033
154,0.034
155,0.032
156,0.034
157,0.033
158,0.032
159,0.035
160,0.034
161,0.03
162,0.03
163,0.033
164,0.031
165,0.034
166,0.031
167,0.031
168,0.033
169,0.032
170,0.031
171,0.033
172,0.033
173,0.033
174,0.034
175,0.032
176,0.032
177,0.032
178,0.034
179,0.033
180,0.033
181,0.033
182,0.033
183,0.033
184,0.032
185,0.032
186,0.032
187,0.035
188,0.031
189,0.033
190,0.033
191,0.032
192,0.034
193,0.033
194,0.031
195,0.034
196,0.031
197,0.03
198,0.033
199,0.034
200,0.034
201,0.032
202,0.031
203,0.032
204,0.031
205,0.031
206,0.032
207,0.033
208,0.033
209,0.031
210,0.034
211,0.032
212,0.033
213,0.033
214,0.032
215,0.031
216,0.032
217,0.032
218,0.035
219,0.033
220,0.033
221,0.033
222,0.03
223,0.033
224,0.031
225,0.033
226,0.033
227,0.033
228,0.032
229,0.034
